model,checkpoint,source,tsne_x,tsne_y
sharedlam2,001000,robot_3cam,73.37,-9.74
sharedlam2,001000,robot_3cam,52.18,-3.26
sharedlam2,001000,robot_3cam,17.39,-12.09
sharedlam2,001000,robot_3cam,54.69,-2.5
sharedlam2,001000,robot_3cam,60.79,3.95
sharedlam2,001000,robot_3cam,31.72,6.68
sharedlam2,001000,robot_3cam,28.75,-9.94
sharedlam2,001000,robot_3cam,53.19,-3.54
sharedlam2,001000,robot_3cam,45.85,18.1
sharedlam2,001000,robot_3cam,42.93,-26.39
sharedlam2,001000,robot_3cam,61.96,20.91
sharedlam2,001000,robot_3cam,43.75,8.77
sharedlam2,001000,robot_3cam,34.1,-4.79
sharedlam2,001000,robot_3cam,72.28,-10.86
sharedlam2,001000,robot_3cam,18.3,-11.61
sharedlam2,001000,robot_3cam,29.03,-17.57
sharedlam2,001000,robot_3cam,57.36,-1.91
sharedlam2,001000,robot_3cam,37.1,-8.84
sharedlam2,001000,robot_3cam,63.51,-12.71
sharedlam2,001000,robot_3cam,15.93,-27.41
sharedlam2,001000,robot_3cam,23.25,-27.2
sharedlam2,001000,robot_3cam,2.73,-20.61
sharedlam2,001000,robot_3cam,11.04,-25.55
sharedlam2,001000,robot_3cam,54.91,-32.74
sharedlam2,001000,robot_3cam,14.55,-5.68
sharedlam2,001000,robot_3cam,19.88,-4.76
sharedlam2,001000,robot_3cam,31.79,6.63
sharedlam2,001000,robot_3cam,66.91,-26.4
sharedlam2,001000,robot_3cam,42.3,-5.74
sharedlam2,001000,robot_3cam,40.7,-26.23
sharedlam2,001000,robot_3cam,66.11,25.01
sharedlam2,001000,robot_3cam,42.36,-5.82
sharedlam2,001000,robot_3cam,52.42,25.17
sharedlam2,001000,robot_3cam,3.96,-20.45
sharedlam2,001000,robot_3cam,32.87,-26.14
sharedlam2,001000,robot_3cam,21.49,-19.04
sharedlam2,001000,robot_3cam,38.16,18.78
sharedlam2,001000,robot_3cam,75.03,-11.13
sharedlam2,001000,robot_3cam,87.9,7.98
sharedlam2,001000,robot_3cam,18.91,-12.4
sharedlam2,001000,robot_3cam,34.32,-16.39
sharedlam2,001000,robot_3cam,64.12,8.48
sharedlam2,001000,robot_3cam,36.55,-5.15
sharedlam2,001000,robot_3cam,46.98,26.4
sharedlam2,001000,robot_3cam,38.31,29.67
sharedlam2,001000,robot_3cam,43.92,8.2
sharedlam2,001000,robot_3cam,29.21,-17.69
sharedlam2,001000,robot_3cam,3.96,-31.99
sharedlam2,001000,robot_3cam,64.97,-8.82
sharedlam2,001000,robot_3cam,41.48,-2.49
sharedlam2,001000,robot_3cam,47.64,-13.18
sharedlam2,001000,robot_3cam,45.49,-18.56
sharedlam2,001000,robot_3cam,42.04,8.65
sharedlam2,001000,robot_3cam,79.42,4.5
sharedlam2,001000,robot_3cam,0.07,-27.23
sharedlam2,001000,robot_3cam,15.18,56.73
sharedlam2,001000,robot_3cam,68.68,-25.98
sharedlam2,001000,robot_3cam,15.4,-27.23
sharedlam2,001000,robot_3cam,46.45,24.71
sharedlam2,001000,robot_3cam,35.45,-25.73
sharedlam2,001000,robot_3cam,54.78,-32.6
sharedlam2,001000,robot_3cam,28.21,-26.24
sharedlam2,001000,robot_3cam,65.92,26.89
sharedlam2,001000,robot_3cam,35.05,-10.47
sharedlam2,001000,robot_3cam,27.54,-26.78
sharedlam2,001000,robot_3cam,64.46,-28.84
sharedlam2,001000,robot_3cam,62.88,6.12
sharedlam2,001000,robot_3cam,47.99,-4.05
sharedlam2,001000,robot_3cam,44.87,22.82
sharedlam2,001000,robot_3cam,64.77,6.15
sharedlam2,001000,robot_3cam,51.43,-2.08
sharedlam2,001000,robot_3cam,47.69,-13.24
sharedlam2,001000,robot_3cam,33.17,5.85
sharedlam2,001000,robot_3cam,17.27,-10.66
sharedlam2,001000,robot_3cam,5.96,-38.15
sharedlam2,001000,robot_3cam,55.42,-2.26
sharedlam2,001000,robot_3cam,81.14,28.44
sharedlam2,001000,robot_3cam,43.54,-26.58
sharedlam2,001000,robot_3cam,78.23,24.98
sharedlam2,001000,robot_3cam,68.62,-25.88
sharedlam2,001000,robot_3cam,62.45,-27.75
sharedlam2,001000,robot_3cam,59.88,6.2
sharedlam2,001000,robot_3cam,22.38,-26.24
sharedlam2,001000,robot_3cam,66.14,-19.55
sharedlam2,001000,robot_3cam,30.63,-24.61
sharedlam2,001000,robot_3cam,68.6,-25.82
sharedlam2,001000,robot_3cam,35.82,10.55
sharedlam2,001000,robot_3cam,26.91,22.91
sharedlam2,001000,robot_3cam,66.75,-24.88
sharedlam2,001000,robot_3cam,55.06,-5.07
sharedlam2,001000,robot_3cam,38.7,21.25
sharedlam2,001000,robot_3cam,31.35,4.11
sharedlam2,001000,robot_3cam,60.87,16.16
sharedlam2,001000,robot_3cam,27.83,-17.86
sharedlam2,001000,robot_3cam,55.68,28.4
sharedlam2,001000,robot_3cam,-3.37,-28.83
sharedlam2,001000,robot_3cam,69.18,25.0
sharedlam2,001000,robot_3cam,45.92,27.96
