teacher,n_emb,checkpoint,embodiment,tsne_x,tsne_y
xemb1iiwa,2,001000,franka,15.42,112.03
xemb1iiwa,2,001000,franka,68.47,-41.12
xemb1iiwa,2,001000,franka,79.72,-38.93
xemb1iiwa,2,001000,franka,51.03,90.18
xemb1iiwa,2,001000,franka,-77.56,50.86
xemb1iiwa,2,001000,franka,-77.59,50.14
xemb1iiwa,2,001000,franka,8.73,115.47
xemb1iiwa,2,001000,franka,8.88,112.27
xemb1iiwa,2,001000,franka,-81.81,11.73
xemb1iiwa,2,001000,franka,-72.32,27.55
xemb1iiwa,2,001000,franka,-99.82,6.11
xemb1iiwa,2,001000,franka,-72.62,53.17
xemb1iiwa,2,001000,franka,62.25,-32.42
xemb1iiwa,2,001000,franka,47.34,91.1
xemb1iiwa,2,001000,franka,-88.65,-15.15
xemb1iiwa,2,001000,franka,-80.48,13.32
xemb1iiwa,2,001000,franka,-91.9,-13.63
xemb1iiwa,2,001000,franka,-63.35,3.03
xemb1iiwa,2,001000,franka,66.35,-28.6
xemb1iiwa,2,001000,franka,57.81,-31.1
xemb1iiwa,2,001000,franka,70.08,-31.67
xemb1iiwa,2,001000,franka,-84.47,20.36
xemb1iiwa,2,001000,franka,-100.21,5.08
xemb1iiwa,2,001000,franka,-94.12,-15.06
xemb1iiwa,2,001000,franka,-64.5,-12.26
xemb1iiwa,2,001000,franka,-57.48,-12.98
