episode_index,task,source_kind,n_valid,ood_maha,agree_ridge_mlp,agree_multi_side,amp_dx,heldout,r2_dx_ridge_multi,r2_dx_ridge_side,r2_xyz_ridge_multi,score,proxy,rank_in_task
433,yellow brick on pink plate,robot_3cam,220,2.5313,0.9602,0.9695,0.0138,False,0.8278,0.6805,0.8318,0.9602,agree_ridge_mlp,3
444,yellow brick on pink plate,robot_3cam,201,2.9243,0.9542,0.9829,0.0189,False,0.8298,0.8223,0.8156,0.9542,agree_ridge_mlp,4
439,yellow brick on pink plate,robot_3cam,257,2.7769,0.9539,0.9859,0.0185,False,0.7842,0.8456,0.7035,0.9539,agree_ridge_mlp,5
448,yellow brick on pink plate,robot_3cam,144,3.7568,0.9539,0.9847,0.0233,False,0.7174,0.7741,0.7162,0.9539,agree_ridge_mlp,6
446,yellow brick on pink plate,robot_3cam,139,2.0529,0.9530,0.9711,0.0130,False,0.6266,0.7038,0.7079,0.9530,agree_ridge_mlp,7
440,yellow brick on pink plate,robot_3cam,182,2.8791,0.9524,0.9687,0.0159,False,0.5731,0.6617,0.7194,0.9524,agree_ridge_mlp,8
452,yellow brick on pink plate,robot_3cam,166,2.4113,0.9492,0.9452,0.0137,True,0.7672,0.6547,0.7407,0.9492,agree_ridge_mlp,9
443,yellow brick on pink plate,robot_3cam,167,3.1586,0.9466,0.9882,0.0202,False,0.7676,0.7599,0.8166,0.9466,agree_ridge_mlp,10
442,yellow brick on pink plate,robot_3cam,182,2.8529,0.9399,0.9536,0.0140,False,0.7778,0.7886,0.7865,0.9399,agree_ridge_mlp,11
432,yellow brick on pink plate,robot_3cam,177,2.5842,0.9393,0.9902,0.0164,False,0.8335,0.8167,0.7987,0.9393,agree_ridge_mlp,12
431,yellow brick on pink plate,robot_3cam,199,2.4028,0.9358,0.9508,0.0129,False,0.7641,0.6236,0.8335,0.9358,agree_ridge_mlp,13
437,yellow brick on pink plate,robot_3cam,137,3.0079,0.9334,0.9855,0.0234,False,0.8262,0.8916,0.7380,0.9334,agree_ridge_mlp,14
460,yellow brick on pink plate,robot_3cam,194,2.2380,0.9268,0.9701,0.0168,False,0.7185,0.7728,0.5252,0.9268,agree_ridge_mlp,15
434,yellow brick on pink plate,robot_3cam,200,2.8546,0.9262,0.9879,0.0198,False,0.6124,0.7074,0.7328,0.9262,agree_ridge_mlp,16
453,yellow brick on pink plate,robot_3cam,153,2.7152,0.9246,0.9495,0.0200,False,0.7575,0.8223,0.7795,0.9246,agree_ridge_mlp,17
459,yellow brick on pink plate,robot_3cam,177,2.2828,0.9237,0.9484,0.0154,False,0.6946,0.6352,0.7710,0.9237,agree_ridge_mlp,18
435,yellow brick on pink plate,robot_3cam,173,2.8731,0.9176,0.9738,0.0181,False,0.8346,0.8539,0.8146,0.9176,agree_ridge_mlp,19
441,yellow brick on pink plate,robot_3cam,229,2.4968,0.9171,0.9234,0.0133,False,0.7168,0.7955,0.8174,0.9171,agree_ridge_mlp,20
449,yellow brick on pink plate,robot_3cam,160,3.4519,0.9160,0.8807,0.0157,False,0.8025,0.7474,0.8197,0.9160,agree_ridge_mlp,21
447,yellow brick on pink plate,robot_3cam,153,2.7042,0.9111,0.9354,0.0122,False,0.6335,0.5632,0.8109,0.9111,agree_ridge_mlp,22
436,yellow brick on pink plate,robot_3cam,186,3.1359,0.9050,0.9518,0.0157,False,0.6727,0.7233,0.7308,0.9050,agree_ridge_mlp,23
450,yellow brick on pink plate,robot_3cam,154,3.5049,0.9004,0.8820,0.0138,False,0.7508,0.5700,0.7827,0.9004,agree_ridge_mlp,24
458,yellow brick on pink plate,robot_3cam,165,2.3190,0.8939,0.9629,0.0118,False,0.6549,0.6276,0.7143,0.8939,agree_ridge_mlp,25
457,yellow brick on pink plate,robot_3cam,195,2.3942,0.8742,0.9105,0.0159,False,0.7164,0.7944,0.7749,0.8742,agree_ridge_mlp,26
451,yellow brick on pink plate,robot_3cam,145,2.4920,0.8737,0.9479,0.0168,False,0.5158,0.6753,0.7001,0.8737,agree_ridge_mlp,27
455,yellow brick on pink plate,robot_3cam,178,2.2931,0.8588,0.8753,0.0122,False,0.5055,0.5300,0.6768,0.8588,agree_ridge_mlp,28
456,yellow brick on pink plate,robot_3cam,207,2.5888,0.8141,0.9058,0.0104,False,0.7763,0.6702,0.6871,0.8141,agree_ridge_mlp,29
454,yellow brick on pink plate,robot_3cam,172,2.5402,0.7354,0.7782,0.0112,False,0.3820,0.4201,0.6902,0.7354,agree_ridge_mlp,30
1617,yellow cup next to stove,video_2cam,130,4.9986,0.9760,0.7907,0.0117,False,,,,0.9760,agree_ridge_mlp,1
1604,yellow cup next to stove,video_2cam,125,5.5290,0.9751,0.8787,0.0152,False,,,,0.9751,agree_ridge_mlp,2
1618,yellow cup next to stove,video_2cam,109,5.5951,0.9687,0.8379,0.0141,False,,,,0.9687,agree_ridge_mlp,3
1614,yellow cup next to stove,video_2cam,119,5.4378,0.9578,0.8657,0.0115,False,,,,0.9578,agree_ridge_mlp,4
1606,yellow cup next to stove,video_2cam,140,4.8556,0.9567,0.8590,0.0114,False,,,,0.9567,agree_ridge_mlp,5
1605,yellow cup next to stove,video_2cam,143,5.1725,0.9564,0.7904,0.0114,False,,,,0.9564,agree_ridge_mlp,6
1620,yellow cup next to stove,video_2cam,135,5.1664,0.9564,0.7340,0.0100,False,,,,0.9564,agree_ridge_mlp,7
1615,yellow cup next to stove,video_2cam,119,5.5678,0.9524,0.8069,0.0120,False,,,,0.9524,agree_ridge_mlp,8
1616,yellow cup next to stove,video_2cam,105,5.3879,0.9491,0.8309,0.0115,False,,,,0.9491,agree_ridge_mlp,9
1607,yellow cup next to stove,video_2cam,142,5.0095,0.9457,0.7504,0.0101,False,,,,0.9457,agree_ridge_mlp,10
1608,yellow cup next to stove,video_2cam,141,4.8251,0.9294,0.8432,0.0088,False,,,,0.9294,agree_ridge_mlp,11
1619,yellow cup next to stove,video_2cam,123,5.9326,0.9210,0.8306,0.0129,False,,,,0.9210,agree_ridge_mlp,12
1610,yellow cup next to stove,video_2cam,129,5.4155,0.9144,0.7378,0.0104,False,,,,0.9144,agree_ridge_mlp,13
1601,yellow cup next to stove,video_2cam,107,6.3094,0.8919,0.8314,0.0137,False,,,,0.8919,agree_ridge_mlp,14
1609,yellow cup next to stove,video_2cam,125,5.8060,0.8825,0.8795,0.0125,False,,,,0.8825,agree_ridge_mlp,15
1602,yellow cup next to stove,video_2cam,157,5.2393,0.8610,0.7465,0.0110,False,,,,0.8610,agree_ridge_mlp,16
1611,yellow cup next to stove,video_2cam,150,5.6338,0.8387,0.7849,0.0102,False,,,,0.8387,agree_ridge_mlp,17
1612,yellow cup next to stove,video_2cam,136,5.5665,0.8341,0.8064,0.0107,False,,,,0.8341,agree_ridge_mlp,18
1613,yellow cup next to stove,video_2cam,141,5.2809,0.8196,0.7765,0.0101,False,,,,0.8196,agree_ridge_mlp,19
1603,yellow cup next to stove,video_2cam,877,4.3637,0.6134,0.1266,0.0009,False,,,,0.6134,agree_ridge_mlp,20
472,yellow cup next to stove,robot_3cam,225,2.5126,0.9655,0.9472,0.0133,False,0.7725,0.7737,0.8299,0.9655,agree_ridge_mlp,1
473,yellow cup next to stove,robot_3cam,266,2.4137,0.9635,0.9424,0.0097,False,0.7449,0.5881,0.7493,0.9635,agree_ridge_mlp,2
471,yellow cup next to stove,robot_3cam,198,2.5807,0.9451,0.9613,0.0139,False,0.7451,0.7433,0.8149,0.9451,agree_ridge_mlp,3
476,yellow cup next to stove,robot_3cam,184,2.8424,0.9413,0.9228,0.0120,False,0.6891,0.5116,0.7506,0.9413,agree_ridge_mlp,4
477,yellow cup next to stove,robot_3cam,203,2.5794,0.9380,0.9544,0.0152,True,0.6252,0.6598,0.7397,0.9380,agree_ridge_mlp,5
474,yellow cup next to stove,robot_3cam,253,2.5437,0.9374,0.9469,0.0128,False,0.7492,0.7144,0.8086,0.9374,agree_ridge_mlp,6
479,yellow cup next to stove,robot_3cam,169,2.5778,0.9205,0.9436,0.0123,False,0.6804,0.5103,0.7533,0.9205,agree_ridge_mlp,7
475,yellow cup next to stove,robot_3cam,203,2.6713,0.9196,0.8770,0.0110,False,0.6774,0.4684,0.7413,0.9196,agree_ridge_mlp,8
478,yellow cup next to stove,robot_3cam,179,2.5428,0.8691,0.8652,0.0098,False,0.6252,0.2609,0.6946,0.8691,agree_ridge_mlp,9
480,yellow cup next to stove,robot_3cam,213,2.5588,0.7984,0.9151,0.0109,True,0.3015,0.4768,0.6136,0.7984,agree_ridge_mlp,10
